"","id","female","edu","marriage","health"
"1",201,1,3,0,3
"2",202,0,3,1,1
"3",203,0,3,0,1
"4",204,0,3,0,2
"5",205,1,1,1,2
"6",206,1,3,0,2
"7",207,0,2,1,2
"8",208,0,2,1,2
"9",209,1,3,0,1
"10",210,1,3,0,1
"11",211,0,4,1,2
"12",212,0,2,0,3
"13",213,1,1,1,2
"14",214,1,2,1,3
"15",215,1,2,0,2
"16",216,1,2,1,1
"17",217,0,1,0,3
"18",218,0,4,0,1
"19",219,1,4,0,3
"20",220,1,2,0,1
"21",221,0,3,0,3
"22",222,0,2,0,3
"23",223,0,3,0,1
"24",224,0,3,1,2
"25",225,0,2,1,3
"26",226,0,2,1,1
"27",227,1,3,0,3
"28",228,0,4,1,2
"29",229,0,4,1,2
"30",230,0,3,1,3
"31",231,0,2,1,3
"32",232,0,4,1,2
"33",233,0,3,0,2
"34",234,0,3,1,2
"35",235,1,3,0,2
"36",236,0,1,0,3
"37",237,0,1,1,2
"38",238,0,4,0,3
"39",239,1,3,1,3
"40",240,0,3,1,2
"41",241,0,1,0,1
"42",242,0,1,1,3
"43",243,1,2,0,2
"44",244,0,3,0,1
"45",245,1,2,0,1
"46",246,0,4,1,1
"47",247,0,3,1,1
"48",248,0,2,1,2
"49",249,0,3,1,2
"50",250,1,1,1,1
"51",251,0,2,0,2
"52",252,0,3,0,2
"53",253,1,2,0,1
"54",254,0,2,0,2
"55",255,0,3,0,2
"56",256,0,3,1,1
"57",257,0,1,0,2
"58",258,0,4,0,2
"59",259,1,2,1,2
"60",260,0,3,0,3
"61",261,1,1,0,2
"62",262,1,3,1,2
"63",263,1,1,0,3
"64",264,1,1,1,2
"65",265,0,2,0,2
"66",266,0,3,0,3
"67",267,1,2,0,2
"68",268,1,3,0,3
"69",269,1,1,1,2
"70",270,1,2,0,3
"71",271,0,3,1,1
"72",272,0,2,1,2
"73",273,0,2,1,2
"74",274,1,1,0,2
"75",275,1,3,0,3
"76",276,1,3,0,3
"77",277,1,3,0,3
"78",278,1,1,1,1
"79",279,1,2,1,2
"80",280,1,2,0,2
"81",281,1,1,0,2
"82",282,0,3,0,2
"83",283,0,1,1,1
"84",284,1,1,0,2
"85",285,0,1,0,1
"86",286,1,2,1,2
"87",287,0,4,0,3
"88",288,1,2,0,3
"89",289,0,2,0,2
"90",290,0,4,0,3
"91",291,0,4,1,2
"92",292,1,4,1,1
"93",293,1,1,0,2
"94",294,1,2,0,2
"95",295,0,4,1,1
"96",296,1,1,1,2
"97",297,1,4,1,2
"98",298,0,3,1,2
"99",299,1,2,1,2
"100",300,1,2,1,2
"101",301,0,3,1,2
"102",302,0,3,1,3
"103",303,1,3,0,2
"104",304,0,2,0,2
"105",305,1,2,0,2
"106",306,0,3,1,2
"107",307,1,4,0,1
"108",308,0,1,0,2
"109",309,1,2,0,2
"110",310,1,1,0,1
"111",311,1,4,0,3
"112",312,0,1,0,2
"113",313,1,1,0,2
"114",314,0,3,1,2
"115",315,1,4,0,2
"116",316,0,3,1,2
"117",317,0,2,1,2
"118",318,1,2,0,1
"119",319,0,3,1,3
"120",320,1,2,0,1
